Plaatsnaam	Bedrijfsnaam	Winkelnaam	Straatnaam	Huisnummer	Huisnummer toevoeging
					
Ingelmunster	Lidl	Ingelmunster	Bruggestraat	77	A
					
Brugge	Lidl	Brugge - Veemarkt	Veemarktstraat	2	
					
Wervik	Lidl	Wervik	Menenstraat	142	
					
Roeselare	Lidl	Roeselare	Vijfwegenstraat	250	
					
Blankenberge	Lidl	Blankenberge	Brugse Steenweg	49-53	
					
Harelbeke	Lidl	Harelbeke	Gentsesteenweg	65	
					
Brugge	Lidl	Brugge - Sint-Kruis	Maalse Steenweg	216	
					
Gistel	Lidl	Gistel	Nieuwpoortsesteenweg	79	
					
De Panne	Lidl	De Panne-Zeelaan	Zeelaan	102-104	
					
Zwevegem	Lidl	Zwevegem-Harelbeekstraat	Harelbeekstraat	149	
					
Gent	Lidl	Gent - Einde Were	Einde Were	126	
					
Lokeren	Lidl	Lokeren	Zelebaan	13	A
					
Aalst	Lidl	Aalst	Hopmarkt	9	
					
Zottegem	Lidl	Zottegem	Buke	44	
					
Wetteren	Lidl	Wetteren	Gentsesteenweg	99	
					
Eeklo	Lidl	Eeklo	Stationstraat	82	j
					
Grembergen	Lidl	Grembergen	Zeelsebaan	83	
					
Wondelgem (Gent)	Lidl	Gent - Wondelgem	Morekstraat	516	
					
Gent	Lidl	Gent - Fratersplein	Fratersplein	11	
					
Ninove	Lidl	Ninove	Ring	13	
					
Oudenaarde	Lidl	Oudenaarde	Beverestraat	116	
					
Melle	Lidl	Melle	Brusselsesteenweg	75	
					
Ronse	Lidl	Ronse	I.S. Maghermanlaan	100	
					
Zele	Lidl	Zele	Gentse Steenweg	243	
					
Lebbeke	Lidl	Lebbeke	Brusselse Steenweg	168	a
					
Buggenhout	Lidl	Buggenhout	Kasteelstraat	65	
					
Lochristi	Lidl	Lochristi	Palingstraat	3	
					
Deinze	Lidl	Deinze	Gentsesteenweg	61	
					
Eke	Lidl	Eke	Steenweg	233	
					
Beveren	Lidl	Beveren	Vesten	39	
					
Geraardsbergen	Lidl	Geraardsbergen	Astridlaan	98	
					
Gent	Lidl	Gent - Mariakerke	Brugsesteenweg	604	
					
Gent	Lidl	Gent - Sint-Denijs-Westrem	Kortrijksesteenweg	1143	
					
Temse	Lidl	Temse	Pastoor Boelstraat	38	
					
Herzele	Lidl	Herzele	Provincieweg	305	
					
Merelbeke	Lidl	Merelbeke	Hundelgemsesteenweg	438	
					
Sint-Niklaas	Lidl	Sint-Niklaas - Plezantstraat	Plezantstraat	231	
					
Sint-Niklaas	Lidl	Sint-Niklaas	Lamstraat	1	
					
Zelzate	Lidl	Zelzate	Maïsstraat	2	
					
Aalst	Lidl	Aalst	Albrechtlaan	54	
					
Destelbergen	Lidl	Destelbergen-Dendermondesteenweg	Dendermondesteenweg	44	
					
Maldegem	Lidl	Maldegem-Koning Leopoldlaan	Koning Leopoldlaan	79	
					
Hamme	Lidl	Hamme	Veldstraat	31	
					
Courcelles	Lidl	Courcelles	Rue du 28 Juin 1919	35-39	
					
Oostende	Lidl	Oostende-Torhoutsesteenweg	Torhoutsesteenweg	572/574	
					
Ghlin	Lidl	Ghlin	Rue de Mons	158	
					
Montigny-le-Tilleul	Lidl	Montigny-le-Tilleul-Rue de Gozée	Rue de Gozée	380	
					
Gent	Lidl	Gent - Tribeca	Frans Van Rijhovelaan	2	
					
Sterrebeek	Lidl	Sterrebeek	Mechelsesteenweg	261	
					
Waregem	Lidl	Waregem - Gentseweg	Gentseweg	494	9
